Subject,CrseNumb,AcyrCode,Term,Section,EnrlMax,EnrlActual
ABCD,1150A,2015,201530,F13,3,0
ABCD,1150A,2015,201530,F14,3,0
ABCD,1150B,2012,201230,F15,0,0
ABCD,1150B,2012,201310,F12,1,1
ABCD,1150B,2012,201310,F14,1,1
ABCD,1150B,2013,201330,F14,3,1
ABCD,1150B,2013,201410,F12,35,0
ABCD,1150B,2013,201410,F14,35,0
ABCD,1150B,2013,201410,F15,2,0
ABCD,1150B,2013,201420,F14,35,2
ABCD,1150B,2014,201510,F10,35,1
ABCD,1150B,2014,201510,F13,35,1
ABCD,1150B,2014,201510,F14,35,1
ABCD,1150B,2014,201510,F15,35,0
ABCD,1150B,2014,201520,F10,5,0
ABCD,1150B,2014,201520,F11,5,0
ABCD,1150B,2014,201520,F12,5,0
ABCD,1150B,2014,201520,F13,5,0
ABCD,1150B,2014,201520,F14,35,0
ABCD,1150B,2014,201520,F15,35,0
ABCD,1201,1996,199630,R16,35,17
ABCD,1201,1996,199630,R40,20,14
ABCD,1201,1997,199730,R16,25,22
ABCD,1201,1997,199730,R40,20,17
ABCD,1201,1998,199830,R16,35,20
ABCD,1201,1998,199830,R40,35,16
ABCD,1201,1999,199930,R16,20,17
ABCD,1201,1999,199930,R40,20,15
ABCD,1201,1999,199930,S16,20,8
ABCD,1201,2000,200030,R16,20,13
ABCD,1201,2000,200030,R40,20,16
ABCD,1201,2000,200030,S16,20,9
ABCD,1210,1996,199630,R16,5,1
ABCD,1210,1996,199710,R16,35,15
ABCD,1210,1996,199710,R40,35,15
ABCD,1210,1997,199810,R16,35,22
ABCD,1210,1997,199810,R40,35,17
ABCD,1210,1998,199910,R16,20,17
ABCD,1210,1998,199910,R40,20,16
ABCD,201,1992,199230,N16,35,11
ABCD,201,1992,199230,R40,20,14
ABCD,201,1992,199310,R40,35,0
ABCD,201,1993,199330,N10,35,10
ABCD,201,1993,199330,R40,20,11
ABCD,201,1994,199430,R10,20,9
ABCD,201,1994,199430,R11,20,16
ABCD,201,1995,199530,R16,35,19
ABCD,201,1995,199530,R40,20,16
ABCD,210,1992,199310,N16,8,8
ABCD,210,1992,199310,R40,17,17
ABCD,210,1993,199410,N10,35,9
ABCD,210,1993,199410,R40,20,11
ABCD,210,1994,199510,R16,20,9
ABCD,210,1994,199510,R40,20,15
ABCD,210,1995,199530,R16,35,1
ABCD,210,1995,199610,R16,20,18
ABCD,210,1995,199610,R40,20,16
ABCD,2101,2001,200130,R16,35,16
ABCD,2101,2001,200130,R40,35,17
ABCD,2101,2001,200130,S14,35,6
ABCD,2101,2001,200130,S16,35,6
ABCD,2101,2002,200230,R16,35,9
ABCD,2101,2002,200230,R40,35,10
ABCD,2101,2002,200230,S14,35,4
ABCD,2101,2002,200230,S16,35,4
ABCD,2101,2002,200310,S70,1,1
ABCD,2101,2003,200330,R16,35,5
ABCD,2101,2003,200330,R40,35,5
ABCD,2101,2003,200330,S14,35,5
ABCD,2101,2003,200330,S16,35,5
ABCD,2101,2003,200410,S16,35,3
ABCD,2101,2003,200420,S14,35,0
ABCD,2101,2004,200430,R16,35,6
ABCD,2101,2004,200430,R40,35,15
ABCD,2101,2004,200430,S14,35,5
ABCD,2101,2004,200430,S16,35,4
ABCD,2101,2004,200510,S16,35,2
ABCD,2101,2004,200520,S14,35,0
ABCD,2101,2005,200530,R16,0,0
ABCD,2101,2005,200530,R40,35,15
ABCD,2101,2005,200530,S16,35,17
ABCD,2101,2006,200630,R16,0,0
ABCD,2101,2006,200630,R40,20,16
ABCD,2101,2006,200630,S37,35,16
ABCD,2101,2007,200730,R40,20,8
ABCD,2101,2007,200730,S16,35,19
